Depth (m),qc (MPa),qt (MPa),fs (kPa),u (kPa),u0 (kPa)
7.25,-8888,0,-8888,-8888,0
7.28,-8888,0,-8888,-8888,0
7.3,-8888,0,-8888,-8888,0
7.33,-8888,0,-8888,-8888,0
7.35,-8888,0,-8888,-8888,0
7.38,-8888,0,-8888,-8888,0
7.4,-8888,0,-8888,-8888,0
7.42,-8888,0,-8888,-8888,0
7.45,-8888,0,-8888,-8888,0
7.47,-8888,0,-8888,-8888,0
7.5,-8888,0,-8888,-8888,0
7.53,-8888,0,-8888,-8888,0
7.55,-8888,0,-8888,-8888,0
7.58,-8888,0,-8888,-8888,0
7.6,-8888,0,-8888,-8888,0
7.63,-8888,0,-8888,-8888,0
7.65,0,2.27,-8888,0,0
7.67,6.8,6.08,-8888,-8.73,0
7.7,11.46,8.33,-8888,-25.51,0
7.72,6.75,6.07,-8888,-3.83,0
7.75,0,4.1,0,5.98,0
7.78,5.55,3.5,134.97,0.78,0
7.8,4.94,5.27,147.2,-10.2,0
7.83,5.33,5.3,163.99,-16.68,0.01
7.85,5.65,5.29,202.64,-20.31,0.03
7.88,4.92,4.83,188.37,-20.01,0.04
7.9,3.94,4.31,189.49,-29.92,0.05
7.92,4.09,4.46,111.83,-25.8,0.07
7.95,5.36,5.15,97.49,-33.26,0.08
7.97,6.01,6.43,116.34,-35.81,0.09
8,7.94,7.28,143.72,-28.15,0.11
8.03,7.9,8.07,229.46,-20.01,0.12
8.05,8.37,8.49,217.38,-9.42,0.13
8.07,9.21,8.6,222.99,-9.42,0.14
8.1,8.23,7.76,185.46,-8.24,0.16
8.13,5.83,5.61,189.92,-0.98,0.17
8.15,2.77,3.95,141.34,60.04,0.18
8.18,3.22,3.15,148.09,41.3,0.2
8.2,3.43,3.07,144.43,53.95,0.21
8.22,2.55,2.76,119.64,35.12,0.22
8.25,2.27,2.43,144.54,86.62,0.24
8.28,2.43,2.44,119.66,19.13,0.25
8.3,2.58,3.38,94.78,26,0.26
8.32,5.12,7.09,80.85,37.47,0.28
8.35,13.54,12.3,102.71,13.05,0.29
8.38,18.22,14.2,82.41,-0.59,0.3
8.4,10.83,12.98,58.08,26.29,0.32
8.43,9.89,9.53,208.27,1.96,0.33
8.45,7.88,9.07,169.37,6.97,0.34
8.47,9.43,7.86,177.85,4.51,0.36
8.5,6.26,6.82,153.21,2.55,0.37
8.53,4.77,5.4,184.15,8.04,0.38
8.55,5.16,4.59,168.36,8.44,0.39
8.57,3.85,4.37,171.22,35.22,0.41
8.6,4.07,3.91,151.25,58.76,0.42
8.63,3.78,4.55,165.45,74.36,0.43
8.65,5.78,6.36,235.17,-15.89,0.45
8.68,9.51,7.03,202.6,-20.6,0.46
8.7,5.82,6.46,138.04,-5.59,0.47
8.72,4.04,4.71,25.2,10.59,0.49
8.75,4.27,4.87,28.77,22.46,0.5
8.78,6.3,6.37,29.69,3.73,0.51
8.8,8.54,7.9,59.54,-0.78,0.53
8.82,8.86,9.25,90.79,18.74,0.54
8.85,10.34,7.88,134.73,-4.12,0.55
8.88,4.44,6.8,133.33,-1.28,0.57
8.9,5.63,5.23,133.65,2.55,0.58
8.93,5.62,4.99,172.19,2.65,0.59
8.95,3.74,4.23,142.07,28.35,0.61
8.97,3.32,3.7,207.01,54.35,0.62
9,4.01,3.25,218.11,29.53,0.63
9.03,2.41,2.66,195.02,23.15,0.64
9.05,1.54,2.39,147.75,80.74,0.66
9.07,3.2,2.61,102.03,7.95,0.67
9.1,3.06,3.6,94.53,-10.79,0.68
9.13,4.53,4.09,83.57,-9.32,0.7
9.15,4.69,4.3,65.01,-25.02,0.71
9.18,3.68,3.59,107.78,-19.82,0.72
9.2,2.42,2.98,117.34,-15.01,0.74
9.22,2.85,3.31,115.33,-18.64,0.75
9.25,4.67,4.55,112.16,-13.24,0.76
9.28,6.13,5.38,130.59,-1.67,0.78
9.3,5.35,6.83,108.67,-6.28,0.79
9.32,9.03,8.36,68.22,-10.01,0.8
9.35,10.7,10.65,62.55,-8.34,0.82
9.38,12.21,10.9,51.52,1.77,0.83
9.4,9.8,11.22,23.89,8.24,0.84
9.43,11.64,9.3,24.45,9.22,0.86
9.45,6.45,9.16,130.3,-3.63,0.87
9.47,9.39,10.41,284.99,2.06,0.88
9.5,15.39,15.39,262.82,1.37,0.89
9.53,21.39,21.39,292.93,6.57,0.91
9.55,27.38,24.95,183.4,-1.86,0.92
9.57,26.07,26.71,184.53,10.01,0.93
9.6,26.68,17.58,160.33,11.77,0.95
9.63,0,8.89,0,-8888,0.96
9.65,0,0,0,-8888,0.97
9.68,0,0,0,-8888,0.99
9.7,0,0,0,-8888,1
9.72,-8888,0,-8888,-8888,0
9.75,-8888,0,-8888,-8888,0
9.78,-8888,0,-8888,-8888,0
9.8,-8888,0,-8888,-8888,0
9.82,-8888,0,-8888,-8888,0
9.85,-8888,0,-8888,-8888,0
9.88,-8888,0,-8888,-8888,0
9.9,-8888,0,-8888,-8888,0
9.93,-8888,0,-8888,-8888,0
9.95,-8888,0,-8888,-8888,0
9.97,-8888,0,-8888,-8888,0
10,-8888,0,-8888,-8888,0
10.03,-8888,0,-8888,-8888,0
10.05,-8888,0,-8888,-8888,0
10.07,-8888,0,-8888,-8888,0
10.1,-8888,0,-8888,-8888,0
10.13,-8888,0,-8888,-8888,0
10.15,-8888,0,-8888,-8888,0
10.18,-8888,0,-8888,-8888,0
10.2,-8888,0,-8888,-8888,0
10.22,-8888,0,-8888,-8888,0
10.25,-8888,0,-8888,-8888,0
10.28,-8888,0,-8888,-8888,0
10.3,-8888,0,-8888,-8888,0
10.32,-8888,0,-8888,-8888,0
10.35,-8888,0,-8888,-8888,0
10.38,-8888,0,-8888,-8888,0
10.4,-8888,0,-8888,-8888,0
10.43,-8888,0,-8888,-8888,0
10.45,-8888,0,-8888,-8888,0
10.47,-8888,0,-8888,-8888,0
10.5,-8888,0,-8888,-8888,0
10.53,-8888,0,-8888,-8888,0
10.55,-8888,0,-8888,-8888,0
10.57,-8888,0,-8888,-8888,0
10.6,-8888,0,-8888,-8888,0
10.63,-8888,0,-8888,-8888,0
10.65,-8888,0,-8888,-8888,0
10.68,-8888,0,-8888,-8888,0
10.7,-8888,0,-8888,-8888,0
10.72,-8888,0,-8888,-8888,0
10.75,-8888,0,-8888,-8888,0
10.78,-8888,0,-8888,-8888,0
10.8,-8888,0,-8888,-8888,0
10.82,-8888,0,-8888,-8888,0
10.85,-8888,0,-8888,-8888,0
10.88,-8888,0,-8888,-8888,0
10.9,-8888,0,-8888,-8888,0
10.93,-8888,0,-8888,-8888,0
10.95,-8888,0,-8888,-8888,0
10.97,-8888,0,-8888,-8888,0
11,-8888,0,-8888,-8888,0
11.03,-8888,0,-8888,-8888,0
11.05,-8888,0,-8888,-8888,0
11.07,-8888,0,-8888,-8888,0
11.1,-8888,0,-8888,-8888,0
11.13,-8888,0,-8888,-8888,0
11.15,-8888,0,-8888,-8888,0
11.18,-8888,0,-8888,-8888,0
11.2,-8888,0,-8888,-8888,0
11.22,-8888,0,-8888,-8888,0
11.25,-8888,0,-8888,-8888,0
11.28,-8888,0,-8888,-8888,0
11.3,-8888,0,-8888,-8888,0
11.32,-8888,0,-8888,-8888,0
11.35,-8888,0,-8888,-8888,0
11.38,-8888,0,-8888,-8888,0
11.4,-8888,0,-8888,-8888,0
11.43,-8888,0,-8888,-8888,0
11.45,-8888,0,-8888,-8888,0
11.47,-8888,0,-8888,-8888,0
11.5,-8888,0,-8888,-8888,0
11.53,-8888,0,-8888,-8888,0
11.55,-8888,0,-8888,-8888,0
11.57,-8888,0,-8888,-8888,0
11.6,-8888,0,-8888,-8888,0
11.63,-8888,0,-8888,-8888,0
11.65,-8888,0,-8888,-8888,0
11.68,-8888,0,-8888,-8888,0
11.7,-8888,0,-8888,-8888,0
11.72,-8888,0,-8888,-8888,0
11.75,-8888,0,-8888,-8888,0
11.78,-8888,0,-8888,-8888,0
11.8,-8888,0,-8888,-8888,0
11.82,-8888,0,-8888,-8888,0
11.85,-8888,0,-8888,-8888,0
11.88,-8888,0,-8888,-8888,0
11.9,-8888,0,-8888,-8888,0
11.93,-8888,0,-8888,-8888,0
11.95,-8888,0,-8888,-8888,0
11.97,-8888,0,-8888,-8888,0
12,-8888,0,-8888,-8888,0
